UKPRN,PROVIDER_NAME,ALIAS_TEXT,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,COUNTY,POSTCODE,WEBSITE_ADDRESS,,Latitude,Longitude,Easting,Northing
10007762,GLASGOW CALEDONIAN UNIVERSITY,,,CITY CAMPUS 70,COWCADDENS ROAD,,GLASGOW,,G4 0BA,www.gcu.ac.uk,,55.866173,-4.250568,259260,665956
10007764,HERIOT-WATT UNIVERSITY,,,,,RICCARTON,CURRIE,MIDLOTHIAN,EH14 4AS,www.hw.ac.uk,,55.909408,-3.3207,317537,669266
10007765,HEYTHROP COLLEGE,,,23,KENSINGTON SQUARE,,LONDON,,W8 5HN,www.heythrop.ac.uk,,51.499883,-0.190908,525670,179434
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",,,20,BEDFORD WAY,,LONDON,,WC1H 0AL,www.ioe.ac.uk,,51.523471,-0.128507,529934,182166
10007767,UNIVERSITY OF KEELE,Keele University,,,,KEELE,NEWCASTLE,,ST5 5BG,www.keele.ac.uk,,53.003265,-2.273581,381738,345140
10007768,UNIVERSITY OF LANCASTER,Lancaster University,,UNIVERSITY HOUSE,,BAILRIGG,LANCASTER,,LA1 4YW,www.lancs.ac.uk,,54.010473,-2.78691,348528,457448
10007769,LONDON BUSINESS SCHOOL,,,,SUSSEX PLACE,,LONDON,,NW1 4SA,www.london.edu,,51.526581,-0.161378,527645,182454
10007771,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,,,,KEPPEL STREET,,LONDON,,WC1E 7HT,www.lshtm.ac.uk,,51.520925,-0.130687,529790,181879
10007772,EDINBURGH NAPIER UNIVERSITY,,,SIGHTHILL CAMPUS 9,SIGHTHILL COURT,,EDINBURGH,,EH11 4BN,www.napier.ac.uk,,55.924082,-3.288471,319582,670861
10007773,OPEN UNIVERSITY(THE),,,,,WALTON HALL,MILTON KEYNES,,MK7 6AA,www.open.ac.uk,,52.024915,-0.709747,488625,237063
10007774,UNIVERSITY OF OXFORD,Oxford University,,UNIVERSITY OFFICES,WELLINGTON SQUARE,,OXFORD,,OX1 2JD,www.ox.ac.uk,,51.757641,-1.262886,450974,206807
10007775,QUEEN MARY UNIVERSITY OF LONDON,,,327,MILE END ROAD,,LONDON,,E1 4NS,www.qmul.ac.uk,,51.523744,-0.041109,535996,182355
10007776,ROEHAMPTON UNIVERSITY,,,ERASMUS HOUSE,ROEHAMPTON LANE,,LONDON,,SW15 5PJ,www.roehampton.ac.uk,,51.455119,-0.246006,521965,174363
10007777,ROYAL COLLEGE OF ART(THE),,,,KENSINGTON GORE,,LONDON,,SW7 2EU,www.rca.ac.uk,,51.501354,-0.178473,526529,179619
10007778,ROYAL COLLEGE OF MUSIC,,,,PRINCE CONSORT ROAD,,LONDON,,SW7 2BS,www.rcm.ac.uk,,51.49928,-0.176913,526643,179391
10007779,THE ROYAL VETERINARY COLLEGE,,,,ROYAL COLLEGE STREET,,LONDON,,NW1 0TU,www.rvc.ac.uk,,51.53686,-0.133524,529548,183646
10007780,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,,,10,THORNHAUGH STREET,,LONDON,,WC1H 0XG,www.soas.ac.uk,,51.52235,-0.129259,529885,182040
10007781,SCHOOL OF PHARMACY UNIVERSITY OF LONDON(THE),,,29-39,BRUNSWICK SQUARE,,LONDON,,WC1N 1AX,www.pharmacy.ac.uk,,51.525083,-0.122458,530349,182356
10007782,"ST. GEORGE'S, UNIVERSITY OF LONDON",,,,CRANMER TERRACE,,LONDON,,SW17 0RE,www.sgul.ac.uk,,51.426728,-0.175746,526925,171325
10007783,UNIVERSITY OF ABERDEEN,,,,REGENT WALK,,ABERDEEN,,AB24 3FX,www.abdn.ac.uk,,57.165022,-2.099123,394104,808245
10007784,UNIVERSITY COLLEGE LONDON,,,,GOWER STREET,,LONDON,,WC1E 6BT,www.ucl.ac.uk,,51.524773,-0.133427,529589,182302
10007785,UNIVERSITY OF BRADFORD,,,,RICHMOND ROAD,,BRADFORD,WEST YORKSHIRE,BD7 1DP,www.bradford.ac.uk,,53.791704,-1.76213,415768,432847
10007786,UNIVERSITY OF BRISTOL,,,SENATE HOUSE,TYNDALL AVENUE,,BRISTOL,,BS8 1TH,www.bristol.ac.uk,,51.45907,-2.603291,358182,173516
10007787,THE UNIVERSITY OF BUCKINGHAM,,,YEOMANRY HOUSE,HUNTER STREET,,BUCKINGHAM,,MK18 1EG,www.buckingham.ac.uk,,51.996009,-0.991839,469315,233542
10007788,UNIVERSITY OF CAMBRIDGE,,,THE OLD SCHOOL,TRINITY LANE,,CAMBRIDGE,,CB2 1TN,www.cam.ac.uk,,52.205303,0.116613,544734,258453
10007789,UNIVERSITY OF EAST ANGLIA,,,NORWICH RESEARCH PARK,EARLHAM ROAD,,NORWICH,,NR4 7TJ,www.uea.ac.uk,,52.622367,1.241391,619497,307667
10007790,UNIVERSITY OF EDINBURGH,,,Sep-15,CHAMBERS STREET,,EDINBURGH,,EH1 1HT,www.ed.ac.uk,,55.948013,-3.18811,325899,673412
10007791,UNIVERSITY OF ESSEX,,,,WIVENHOE PARK,,COLCHESTER,,CO4 3SQ,www.essex.ac.uk,,51.876556,0.945028,602815,223876
10007792,UNIVERSITY OF EXETER,,,,STOCKER ROAD,,EXETER,,EX4 4PY,www.exeter.ac.uk,,50.735216,-3.534356,291819,93967
10007793,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,,,,,TREFOREST,PONTYPRIDD,MID GLAMORGAN,CF37 1DL,www.southwales.ac.uk,,51.587668,-3.326985,308163,188480
10007794,UNIVERSITY OF GLASGOW,,,,UNIVERSITY AVENUE,,GLASGOW,,G12 8QQ,www.gla.ac.uk,,55.871758,-4.288361,256916,666655
10007795,UNIVERSITY OF LEEDS,,,,WOODHOUSE LANE,,LEEDS,,LS2 9JT,www.leeds.ac.uk,,53.80848,-1.552792,429547,434780
10007796,UNIVERSITY OF LEICESTER,,,,UNIVERSITY ROAD,,LEICESTER,,LE1 7RH,www.le.ac.uk,,52.621921,-1.123811,459412,303044
10007797,UNIVERSITY OF LONDON,,,SENATE HOUSE,MALET STREET,,LONDON,,WC1E 7HU,www.lon.ac.uk,,51.520997,-0.127844,529987,181892
10007798,THE UNIVERSITY OF MANCHESTER,,,,OXFORD ROAD,,MANCHESTER,,M13 9PL,www.manchester.ac.uk,,53.46793,-2.233224,384615,396824
10007799,NEWCASTLE UNIVERSITY,,,,CLAREMONT ROAD,,NEWCASTLE UPON TYNE,,NE1 7RU,www.ncl.ac.uk,,54.980323,-1.615714,424693,565147
10007800,UNIVERSITY OF THE WEST OF SCOTLAND,,,,HIGH STREET,,PAISLEY,RENFREWSHIRE,PA1 2BE,www.uws.ac.uk,,55.843681,-4.428496,248040,663830
10007801,PLYMOUTH UNIVERSITY,,,,DRAKE CIRCUS,,PLYMOUTH,,PL4 8AA,www.plymouth.ac.uk,,50.374845,-4.140458,247894,54962
10007802,UNIVERSITY OF READING,,,WHITEKNIGHTS HOUSE,,WHITEKNIGHTS,READING,,RG6 6UR,www.reading.ac.uk,,51.440565,-0.947108,473277,171811
10007803,UNIVERSITY OF ST ANDREWS,,,COLLEGE GATE,NORTH STREET,,ST. ANDREWS,,KY16 9AJ,www.st-andrews.ac.uk,,56.341218,-2.793012,351076,716822
10007804,UNIVERSITY OF STIRLING,,,,,,STIRLING,,FK9 4LA,www.stir.ac.uk,,56.149219,-3.926795,280397,696841
10007805,UNIVERSITY OF STRATHCLYDE,,,MCCANCE BUILDING 16,RICHMOND STREET,,GLASGOW,,G1 1XQ,www.strath.ac.uk,,55.861375,-4.244602,259616,665410
10007806,UNIVERSITY OF SUSSEX,,,SUSSEX HOUSE,SOUTHERN RING ROAD,FALMER,BRIGHTON,,BN1 9RH,www.sussex.ac.uk,,50.86447,-0.087076,534715,108961
10007807,UNIVERSITY OF ULSTER,,,,CROMORE ROAD,,COLERAINE,COUNTY LONDONDERRY,BT52 1SA,www.ulster.ac.uk,,55.14764,-6.671629,102465,593666
10007811,BISHOP GROSSETESTE UNIVERSITY,,,,LONGDALES ROAD,,LINCOLN,,LN1 3DY,www.bishopg.ac.uk,,53.243492,-0.534939,497864,372831
10007814,CARDIFF UNIVERSITY,,,,PARK PLACE,,CARDIFF,,CF10 3AT,www.cardiff.ac.uk,,51.489071,-3.179812,318182,177340
10007816,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,,,EMBASSY THEATRE 62-64,ETON AVENUE,,LONDON,,NW3 3HY,www.cssd.ac.uk,,51.544335,-0.174205,526706,184406
10007822,CRANFIELD UNIVERSITY,,,,COLLEGE ROAD,CRANFIELD,BEDFORD,,MK43 0AL,www.cranfield.ac.uk,,52.073919,-0.628756,494079,242615
