UKPRN,PROVIDER_NAME,ALIAS_TEXT,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,COUNTY,POSTCODE,WEBSITE_ADDRESS,,Latitude,Longitude,Easting,Northing
10004048,LONDON METROPOLITAN UNIVERSITY,,,166-220,HOLLOWAY ROAD,,LONDON,,N7 8DB,www.londonmet.ac.uk,,51.551819,-0.110236,531120,185351
10004063,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,,,,HOUGHTON STREET,,LONDON,,WC2A 2AE,www.lse.ac.uk,,51.513967,-0.116732,530778,181130
10004078,LONDON SOUTH BANK UNIVERSITY,,,103,BOROUGH ROAD,,LONDON,,SE1 0AA,www.lsbu.ac.uk,,51.498409,-0.101655,531869,179427
10004113,LOUGHBOROUGH UNIVERSITY,,,,,,LOUGHBOROUGH,LEICESTERSHIRE,LE11 3TU,www.lboro.ac.uk,,52.764875,-1.229474,452089,318864
10004180,MANCHESTER METROPOLITAN UNIVERSITY,,,ALL SAINTS,GROSVENOR SQUARE,,MANCHESTER,,M15 6BH,www.mmu.ac.uk,,53.47092,-2.239116,384225,397158
10004351,MIDDLESEX UNIVERSITY,,,,THE BURROUGHS,,LONDON,,NW4 4BT,www.mdx.ac.uk,,51.589714,-0.228441,522823,189360
10004775,NORWICH UNIVERSITY OF THE ARTS,,,3,REDWELL STREET,,NORWICH,,NR2 4SN,www.nua.ac.uk,,52.63048,1.297375,623244,308741
10004797,NOTTINGHAM TRENT UNIVERSITY,,,,BURTON STREET,,NOTTINGHAM,,NG1 4BU,www.ntu.ac.uk,,52.956365,-1.152004,457065,340224
10004930,OXFORD BROOKES UNIVERSITY,,,,GIPSY LANE,HEADINGTON,OXFORD,,OX3 0BP,www.brookes.ac.uk,,51.754382,-1.223201,453717,206473
10005337,"QUEEN MARGARET UNIVERSITY, EDINBURGH",,,,QUEEN MARGARET UNIVERSITY DRIVE,,MUSSELBURGH,,EH21 6UU,www.qmu.ac.uk,,55.931763,-3.073999,332997,671487
10005343,QUEEN'S UNIVERSITY OF BELFAST,,,,UNIVERSITY ROAD,,BELFAST,,BT7 1NN,www.qub.ac.uk,,54.583326,-5.935209,145825,528024
10005389,RAVENSBOURNE,,,6,PENROSE WAY,,LONDON,,SE10 0EW,www.rave.ac.uk,,51.501571,0.005531,539299,179977
10005500,THE ROBERT GORDON UNIVERSITY,,,CENTRAL SERVICES BUILDING,GARTHDEE ROAD,,ABERDEEN,,AB10 7FY,www.rgu.ac.uk,,57.118097,-2.143666,391399,803026
10005523,ROSE BRUFORD COLLEGE,,,,Lamorbey Park Burnt Oak Lane,,Sidcup,Kent,DA15 9DF,www.bruford.ac.uk,,51.439004,0.106779,546526,173217
10005545,ROYAL AGRICULTURAL UNIVERSITY,,,,Stroud Road,,Cirencester,Gloucestershire,GL7 6JS,www.rac.ac.uk,,51.709493,-1.995003,400442,201195
10005553,ROYAL HOLLOWAY COLLEGE AND BEDFORD NEW COLLEGE,"Royal Holloway, University of London",,,EGHAM HILL,,EGHAM,,TW20 0EX,www.rhul.ac.uk,,51.425324,-0.567218,499713,170564
10005561,ROYAL CONSERVATOIRE OF SCOTLAND,,,100,RENFREW STREET,,GLASGOW,,G2 3DB,www.rcs.ac.uk,,55.866151,-4.257648,258817,665968
10005700,SRUC,Scotland's Rural College,,,KING'S BUILDINGS WEST MAINS ROAD,,EDINBURGH,,EH9 3JG,www.sruc.ac.uk,,55.921616,-3.176533,326572,670462
10005790,SHEFFIELD HALLAM UNIVERSITY,,,CITY CAMPUS,POND STREET,,SHEFFIELD,,S1 1WB,www.shu.ac.uk,,53.379197,-1.465256,435670,387060
10006022,SOUTHAMPTON SOLENT UNIVERSITY,,,,EAST PARK TERRACE,,SOUTHAMPTON,,SO14 0YN,www.solent.ac.uk,,50.90775,-1.400166,442271,112202
10006299,STAFFORDSHIRE UNIVERSITY,,,,COLLEGE ROAD,,STOKE-ON-TRENT,,ST4 2DE,www.staffs.ac.uk,,53.010083,-2.182606,387845,345879
10006427,UNIVERSITY FOR THE CREATIVE ARTS,,,,FALKNER ROAD,,FARNHAM,SURREY,GU9 7DS,www.ucreative.ac.uk,,51.216659,-0.805347,483535,147062
10006566,UNIVERSITY OF WEST LONDON,,,,ST. MARYS ROAD,,LONDON,,W5 5RF,www.uwl.ac.uk,,51.506609,-0.303412,517844,179995
10006840,UNIVERSITY OF BIRMINGHAM,,,,,EDGBASTON,BIRMINGHAM,,B15 2TT,www.birmingham.ac.uk,,52.451411,-1.930047,404851,283719
10006841,UNIVERSITY OF BOLTON,,,,DEANE ROAD,,BOLTON,,BL3 5AB,www.bolton.ac.uk,,53.573515,-2.436239,371210,408634
10006842,UNIVERSITY OF LIVERPOOL,,PO Box 147,,,,LIVERPOOL,,L69 3BX,www.liv.ac.uk,,53.380119,-2.97339,335347,387471
10007114,UNIVERSITY OF THE HIGHLANDS AND ISLANDS,,,12b,Ness Walk,,Inverness,,IV3 5SQ,www.uhi.ac.uk,,57.469698,-4.230799,266305,844355
